"","name","bdl","zdf","zf","ma5","ma6","day","highest","lowest","hsl5","hsl6","y"
"640","全 聚 德",0.969273,0.694445027958279,3.82616187320333,-0.915548954372293,-0.847471667983418,4,11.6,11.2517151418215,0.239386525690626,0.357007355146532,-0.0879507475813557
"641","广百股份",1.004308,2.12765937024655,5.07847502749826,-0.584325392668587,-0.450628243892183,0,8.15776358772866,7.93278929214382,0.218224372407604,0.417092703263222,5.99999990165232
"642","ST 巴 士",2.842001,-8.48329048843188,14.9100257069409,-0.206279720279721,-0.610433566433566,1,3.8,3.44,0.765778793386154,1.18120828322473,-7.67045454545454
"643","中 光 学",3.550155,1.19885144671059,19.7159027261448,-1.46598301722455,-2.83758220215065,-2,22.89704070554,19.7058155200989,2.41805815222847,3.98358439342228,9.33742457016202
"644","成飞集成",1.559019,-9.95285489785227,14.0387637506548,-0.545776223776219,-1.17439160839161,-4,19.01,16.7,0.605708790917534,1.01606832705679,10.5325443786982
"645","劲嘉股份",4.054607,-9.03328050713155,17.236025786998,0.0330714738142373,-1.40150103218493,-8,12.5995348502955,10.7926248136252,2.39948024503779,3.18865288536087,6.4186046511628
"646","*ST 融捷",3.571585,-10.0420168067227,18.3193277310924,-2.58514685314685,-6.12068531468531,2,21.74,19.18,2.03392058881174,2.56012029147848,-8.53371051390854
"647","如意集团",1.312964,-0.570776254542671,9.14161991200531,-1.23434080825436,-1.16105521239689,-2,8.95857308070554,8.54097033998453,0.606073290954109,1.07464263552905,6.90058457175073
"648","武汉凡谷",4.557877,3.41503930399685,31.3271680197673,0.725643311098889,-1.27870357193035,2,14.2182972251558,10.3315197126716,4.5355480655464,3.72830813271457,5.14255604412004
"649","二三四五",2.022198,0.433022744747302,8.15433907338931,-0.246820677542745,-0.415083355740461,-3,4.08430087686611,3.73443525240458,1.70573572018803,3.22294797482529,-0.528401585347338
"650","方正电机",3.834375,-0.152439024390238,17.5304878048781,0.192685314685314,-0.0568111888111869,-1,6.96,6,1.29873757561281,1.45597028194623,-5.62700964630225
"651","证通电子",2.660873,-9.05840286054828,14.7794994040524,-0.339398601398599,-1.15594405594406,-3,8.09,7.12,1.93300769490306,7.09605621382789,1.48247978436657
"652","嘉应制药",4.498806,-12.8991060025543,22.6053639846743,-0.262111888111889,-1.78181818181818,-5,7.62,6.3,5.18223755727979,7.75305234413553,2.34009360374416
"653","东晶电子",7.482432,-4.53441295546559,75.8704453441296,-0.247958041958043,0.895216783216778,1,18.1,11.4,5.95985293577758,1.31247321157493,11.6666666666667
"654","ST 云 投",2.15844,-7.21649484536083,10.8983799705449,-0.150321678321678,-0.760895104895106,0,6.57,6.17,0.878936836835151,1.83609923449437,-2.75526742301458
"655","九鼎新材",2.268199,-2.51107828655835,13.8847858197932,-0.844895104895106,-0.718433566433566,-4,7.1,6.31,0.434718713046382,0.628086919627745,27.2012578616352
"656","金风科技",2.392638,4.97131931985451,12.0626970460378,-1.70656127031371,-1.08119647405988,-3,11.1868081643927,10.1199996867734,0.741610364443733,0.882370722551077,16.6981132346965
"657","海亮股份",1.516728,4.7765980506004,10.3685940276498,1.07945454713187,1.14241491530678,5,11.4562774180366,10.8055766352565,0.613325497316039,0.828467416077737,-11.9825225713824
"658","大连重工",2.373531,0.572246063726323,8.89207239392064,-0.427546036505238,-0.374635679604479,-3,3.61045926919409,3.34411391326993,0.339542039010989,0.562002012804631,5.09745125492729
"659","国统股份",2.235631,-4.18502203302502,8.479754085311,0.630605698166134,-0.71612561102633,2,11.4217137880909,10.3045079039006,1.08021987831499,1.4982717812883,20.2179177105593
"660","海 利 得",1.519988,-2.51889168765743,7.30478589420655,-0.349902962189264,-0.409002182593241,-3,4.01,3.78,1.0051871881525,1.13598136085605,3.17460317460319
"661","ST 准 油",2.616248,-15.2492668621701,21.5542521994135,0.125090909090904,-0.902517482517483,-4,6.69,5.57,0.607587719931691,0.464648650488799,9.10714285714287
"662","合肥城建",2.348735,-0.245098039215685,11.0294117647059,0.0369577997271318,-0.57285566898268,-6,8.15,7.66,1.36070913130334,2.24015256226225,1.15532734274713
"663","达 意 隆",2.554007,-1.27587184616376,12.7373833729609,-0.856106000959125,-0.748027194987756,-4,7.28400005566142,6.55460087313291,1.18452394553119,1.61191635526603,4.46186316437336
"664","宏达新材",3.518014,-8.65533230293662,23.338485316847,0.0257062937062944,-0.0610209790209755,0,7,5.61,3.15928391516015,6.5192002451501,8.09859154929578
"665","南洋股份",2.526545,3.92296718972895,12.0542082738944,-1.58411188811189,-1.0203076923077,0,14.86,13.49,0.353679370310608,0.41589082613779,7.75248933143671
"666","特 尔 佳",2.889928,-2.83600493218249,15.0431565967941,-1.56551048951049,-1.28097902097902,-2,8.31,7.28,1.34090097087379,1.78102360988526,-2.85714285714286
"667","大立科技",2.545997,-7.78508772031585,16.8796773934156,0.319684792736943,-0.222325798793864,-2,9.41640970977523,7.99149268490978,3.09574163317467,5.25209734587988,33.1683168513303
"668","诺 普 信",3.627203,-16.9636530648747,22.6058405391816,0.694211469912107,-0.247842868977518,-2,8.46125743189002,7.05430469494757,4.31764479340892,7.66809946698576,-7.77667095016774
"669","三全食品",2.933952,1.2035010945628,11.2036406839337,0.404307074088885,0.756575587615027,-3,9.6449341737814,8.72021368083122,1.08546229857234,1.36337864073635,13.3640553187791
"670","合 力 泰",3.325469,15.4261473002697,16.1164380670118,-1.23237340899336,-0.62072187414647,0,5.97955877265349,5.21599985806921,2.13168206426387,1.53288987327319,-11.7144809728306
"671","拓日新能",3.566777,-1.52439024390242,14.9390243902439,-0.447818181818184,-0.275776223776223,0,3.49,3.08,1.70650051661804,1.65723494130076,-0.641025641025639
"672","*ST 恒康",3.539502,-11.3960113960114,26.4957264957265,-0.466797202797203,-0.412027972027971,-1,3.84,2.97,0.916764614939855,0.991709597283991,-5.98006644518272
"673","*ST 天宝",3.583084,-41.0071942446043,43.8848920863309,-0.378321678321679,-0.971986013986015,-10,2.51,1.56,3.52024728637297,6.53065426063973,-7.6923076923077
"674","东华能源",2.093865,-2.27260712050802,11.1053461335567,-0.620967940758685,-1.48620670802966,-2,9.08240304174068,8.33,0.862891275709458,1.19831693852626,2.94464075382803
"675","福晶科技",2.653987,8.69565213981778,17.5401484315371,-1.6773021692123,-0.370703013462942,6,12.7013485925449,11.1545801456776,3.3919657968717,1.43828944866029,-4.47761229576528
"676","鱼跃医疗",2.241872,3.77358509114261,9.98711190469313,-1.08350444091067,-0.828880285061896,0,23.3676756498593,21.5570285612617,0.626087277102274,0.88145821487606,3.1944444375952
"677","三 力 士",3.553599,-18.1144778507302,25.9568346549281,0.0125006534018919,-0.555851728906902,-6,7.55138521991278,5.77,3.79293789776583,9.0096638042463,-0.686106346483695
"678","濮耐股份",1.898493,1.99079676987461,9.64278139945067,-0.488879454430809,-0.399218139010085,-1,4.7112701361436,4.42603666234785,0.506429168743615,0.609564759735041,13.0901780249275
"679","江南化工",2.17562,-3.53982300884956,12.7433628318584,-0.851916083916082,-0.732139860139859,0,5.73,5.15,0.983941609780044,1.42720716848353,1.89393939393938
"680","奥 特 迅",2.689243,-0.487805032786837,14.3940790070976,-1.54503427570893,-1.45271532891891,-2,12.8003660899302,11.3632161965697,0.570610510198753,0.67986271628885,-0.943396227283144
"681","合兴包装",1.879399,5.7613170076168,12.761054974639,-0.524535452205195,-0.254523729863728,6,5.24275499106983,4.78708285776914,0.781411208853403,1.03718115531691,-8.74751493002107
"682","鸿博股份",3.64718,-8.50537994433862,25.5661457560369,-0.645997942984524,-0.851587704347129,0,8.80565593053116,7.31148354412881,3.41501271054301,3.88411304333623,-0.821946827617503
"683","科大讯飞",2.85263,-0.840898932465051,13.5379228031851,-4.5465343016738,-3.51638407562203,2,31.6886805402967,28.0092837123013,1.41415852433197,1.59252590822736,12.8069776047499
"684","奥维通信",5.194717,7.46987951807228,29.1566265060241,-0.618895104895105,0.721384615384618,6,9.38,7.47,10.6110202071798,5.59644416046124,-16.2315550510783
"685","启明信息",5.82903,29.7140027055333,39.6230319261606,-0.98748188183324,0.54862897830637,4,10.9047027565309,8.20848504200404,6.15208989558503,1.20868639985929,-14.5115644016881
"686","塔牌集团",1.686576,3.97811843209193,6.69102650390816,-0.576706065251331,-0.486862707238195,-1,10.7804146274342,10.1929006814754,0.848301305020339,1.03775238645704,2.7541760361518
"687","民和股份",4.553624,-19.7910447549916,32.5701125354907,3.20265190480295,-0.814858850673033,-8,33.9324623960242,24.597628363383,10.8881236724106,13.9170243746344,31.1714632705805
"688","安妮股份",3.848953,-13.0830489192264,22.0705346985211,0.0647832167832174,-1.02451748251748,0,8.98,7.41,6.3136801776475,10.9507760703037,10.5263157894737
"689","大华股份",3.298472,0,11.6467903892324,-1.73030487475154,-2.45006887202993,0,13.4294021325138,12.0507559756309,2.82735271062832,2.6602651128793,11.3639963511954
"690","恒邦股份",3.858852,11.1324376212352,23.8710195874379,-0.0244218892702275,0.399486286999686,3,12.1133966316845,9.77852446379806,3.97866967299733,3.41532978061947,36.7099567137456
"691","天威视讯",5.654267,-6.45491799067108,26.5594028390111,-0.282371491725465,0.200986888008542,0,10.6634342435952,8.83730930214544,3.84756140204667,2.19698938512464,-10.2941182932677
"692","奥 特 佳",2.067792,-5.26315789473684,10.0478468899521,-0.41144055944056,-0.372783216783217,-3,2.07,1.9,0.619864779607407,0.770244256433042,-4.73684210526315
"693","威华股份",3.467746,20.253164556962,28.4810126582278,-1.31714685314685,-0.333622377622376,4,9.5,8.14,4.32878942287924,2.49945888248223,-8.14732142857143
"694","歌尔股份",2.147769,1.5014453222352,8.64104631104563,-0.758194861443569,-1.31268491160088,-2,8.20737379931004,7.70608510019051,1.22501319128576,1.86412307454911,26.6673569497525
"695","九阳股份",2.086042,-1.21273368707618,13.0547102464841,-0.577014876544869,-1.07869185148198,-4,20.6161593067614,18.6303310254679,0.533454738560972,0.65363962048262,0.805585380180185
"696","通产丽星",4.480954,12.7574749923775,25.1006115656419,-3.65968198395304,-1.52395555940856,0,17.4237444916511,15.2246305063189,4.49218345619819,4.02166774647396,-10.3598014835667
"697","滨江集团",1.377414,1.23823676267685,6.74045365380203,-0.424737643722104,-0.488033470017174,-1,4.10953837800493,3.89630761310845,0.39804006405126,0.611231557532538,5.0150451838386
"698","澳洋顺昌",2.574868,-9.53326712393362,16.3735442822081,-0.331665702303728,-0.44620010824234,-2,4.93129726740358,4.32360204859223,1.66075546985596,2.49872361625152,-10.9215016984056
"699","北化股份",2.386063,-0.386597938857003,10.6562760716055,-0.780540319169312,-0.947304157602964,0,8.06089615558215,7.33077826633725,0.821670247775021,1.2742333857978,12.5169151395309
"700","*ST 聚力",5.208919,-22.5464190981432,31.5649867374005,-0.893370629370629,-1.27184615384615,-8,3.57,2.65,4.02274355123061,4.1408626077027,14.7169811320755
"701","华东数控",2.289693,2.55319148936171,10.2127659574468,-0.700461538461536,-0.408839160839161,-2,9.66,9.13,0.53848562313419,0.870071939763742,-5.27983104540655
"702","大洋电机",3.098851,-4.61538461538461,18.2417582417582,-0.610223776223777,-0.874125874125874,0,4.73,4.12,0.991259664824972,1.81741758844806,0.240963855421672
"703","联化科技",1.736221,-4.33579337715199,11.8570507585723,0.00739923161014389,-0.394574496221853,-5,10.6807210251753,9.85221649705423,0.892654254675239,2.06311363849399,11.0552769181935
"704","步 步 高",1.442512,-2.60542678216804,8.41730651069148,-0.88047841542876,-0.990853221768049,-2,8.15717617342726,7.58920952509739,0.479926006457449,0.734832648217419,-0.522184701862338
"705","上海莱士",3.546036,-15.1774785801714,20.3182374541004,-1.32896503496504,-1.63787412587413,-6,7.46,6.36,0.772519709756939,0.966719170513733,2.66666666666668
